,key
1100,massgis:POLY_CODE
1101,massgis:SOURCE_SCA
1102,railway:signal:minor
1103,NHD:GNIS_ID
1104,farmland
1105,railway:signal:speed_limit
1106,railway:signal:speed_limit:form
1107,ref:GB:tflcid
1108,addr.source:housenumber
1109,contact:street
1110,addr:community
1111,note:old_railway_operator
1112,elevation
1113,contact:youtube
1114,ref:De_Lijn
1115,source_date
1116,motorboat
1117,koatuu
1118,gtfs_stop_code
1119,TMC:cid_58:tabcd_1:LocationCode
1120,route_ref:De_Lijn
1121,TMC:cid_58:tabcd_1:Class
1122,TMC:cid_58:tabcd_1:LCLversion
1123,grades
1124,zone:De_Lijn
1125,maxspeed:source
1126,subject:wikidata
1127,cesena:ref_id
1128,contact:housenumber
1129,name:en1
1130,source:designation
1131,fire_hydrant:housenumber
1132,construction_date
1133,KSJ2:coordinate
1134,KSJ2:long
1135,KSJ2:lat
1136,parking:condition:both
1137,logging:start_date
1138,source:pkey
1139,taxon:family
1140,ref:colour
1141,seamark:light:period
1142,nhd:gnis_id
1143,second_hand
1144,wall:material
1145,seamark:rock:water_level
1146,source:lanes
1147,brand:zh
1148,sides
1149,railway:signal:speed_limit:speed
1150,payment:maestro
1151,species:wikidata
1152,ref:FR:FINESS
1153,ref:vatin
1154,mhs:inscription_date
1155,old_ref:legislative
1156,flood_prone
1157,working
1158,ref:FR:ANFR
1159,fvst:navnelbnr
1160,bunker_type
1161,ref:DK:cvr
1162,building:cladding
1163,addr.source:street
1164,name:my
1165,damage
1166,gns:dsg
1167,canal
1168,flag:type
1169,defibrillator:location
1170,id_origin
1171,addr:division
1172,njgin:guid
1173,hoops
1174,contact:postcode
1175,flour_fortified
1176,source:hgv
1177,species:fr
1178,unocha:pcode
1179,ref:FR:STIF
1180,kerb:height
1181,cycleway:right:buffer
1182,smoothness:date
1183,rotor:diameter
1184,building:start_date
1185,heritage:website
1186,pmfsefin:id
1187,cycleway:both:lane
1188,old_addr:place
1189,source:width
1190,contact:city
1191,building:floor
1192,official_name:en
1193,access:conditional
1194,tiger:name_base_3
1195,mountain_pass
1196,animated
1197,message
1198,name:ar1
1199,locked
1200,name:ku
1201,indoor_seating
1202,irrigation
1203,allotments
1204,source:destination
1205,luminous
1206,nat_name:en
1207,razed:railway
1208,fuel:lpg
1209,addr:hamlet:de
1210,addr:hamlet:it
1211,railway:signal:distant:states
1212,zone:TEC
1213,traffic_sign:2
1214,STIF:zone
1215,ref:FR:Grenoble:trees
1216,katotth
1217,ref:DK:cvr:pnummer
1218,old_name:uk
1219,lamp:shape
1220,source:heritage
1221,addr:city:ar
1222,opening_hours:signed
1223,pole
1224,backup_generator
1225,diet:vegan
1226,taxon:pt
1227,couplings:type
1228,railway:atb
1229,national_highways:area
1230,min_age
1231,levels
1232,damage:event
1233,driveway
1234,source_type_imagery
1235,ref:FR:Enedis
1236,name:bg
1237,gtfs:stop_id
1238,landform
1239,fire_hydrant:type:zh
1240,ref:UFID
1241,ref:DGNID
1242,clc:id
1243,currency:EUR
1244,recycling:plastic_bottles
1245,enforcement
1246,sidewalk:left:surface
1247,sby:bldgtype
1248,memorial:type
1249,ref:cadastre
1250,BRN
1251,railway:signal:speed_limit:height
1252,changing_table
1253,source:geometry:version
1254,railway:signal:distant:height
1255,land_property
1256,zip_right
1257,dibavod:needs:review
1258,path
1259,maxspeed:practical
1260,is_in:state_code
1261,name:nan-TL
1262,note:de
1263,name:nan-POJ
1264,stile
1265,zip_left
1266,catastro:ref
1267,name:hy
1268,class:bicycle:mtb
1269,network:zh
1270,axle_load
1271,share_taxi
1272,telecom:medium
1273,name:right
1274,reservation
1275,name:vi
1276,name:left
1277,charge
1278,stroller
1279,railway:tvm
1280,KSJ2:lake_id
